drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,133,144,Josh Tomlin,183,/players/t/tomlijo01.shtml,898.6666666666666,969,53,RHP,4.7,167,509,4.77,61,Indians,CLE,612,476
2006,75,0,Vinnie Pestano,192,/players/p/pestavi01.shtml,181.33333333333334,148,8,RHP,4.5,20,63,2.93,5,Indians,CLE,218,59
2007,4,0,Josh Judy,12,/players/j/judyjo01.shtml,14.0,18,0,RHP,-0.2,4,11,7.07,0,Indians,CLE,10,11
2008,0,0,Zach Putnam,8,/players/p/putnaza01.shtml,7.333333333333333,10,1,RHP,-0.1,1,5,6.14,1,Indians,CLE,9,5
2008,2,0,Matt Langwell,5,/players/l/langwma01.shtml,5.333333333333333,5,0,RHP,0.0,1,3,5.06,1,Indians,CLE,6,3
2008,34,22,T.J. House,27,/players/h/housetj01.shtml,117.66666666666667,140,7,LHP,1.4,11,61,4.44,5,Indians,CLE,89,58
2009,9,3,Alex White,3,/players/w/whiteal01.shtml,15.0,14,0,RHP,0.2,3,7,3.6,1,Indians,CLE,13,6
2009,21,0,Austin Adams,53,/players/a/adamsau01.shtml,58.666666666666664,73,0,RHP,-0.6,8,44,6.29,2,Indians,CLE,44,41
2009,3,0,Preston Guilmet,4,/players/g/guilmpr01.shtml,5.333333333333333,8,0,RHP,-0.3,0,6,10.13,0,Indians,CLE,1,6
2009,7,0,Joe Colon,11,/players/c/colonjo01.shtml,10.0,12,3,RHP,-0.3,2,9,7.2,1,Indians,CLE,10,8
2010,173,0,Cody Allen,456,/players/a/allenco01.shtml,440.6666666666667,351,29,RHP,9.0,46,163,2.98,24,Indians,CLE,564,146
2011,37,24,Cody Anderson,34,/players/a/anderco01.shtml,152.0,162,8,RHP,1.7,22,77,4.5,9,Indians,CLE,98,76
2011,4,5,Ryan Merritt,9,/players/m/merriry01.shtml,31.666666666666668,32,0,LHP,1.1,0,8,1.71,3,Indians,CLE,13,6
2011,17,0,Shawn Armstrong,39,/players/a/armstsh01.shtml,43.333333333333336,37,0,RHP,0.7,7,17,3.53,1,Indians,CLE,38,17
2011,5,0,Shawn Morimando,2,/players/m/morimsh01.shtml,4.666666666666667,9,0,LHP,-0.2,2,6,11.57,0,Indians,CLE,5,6
2011,173,0,Cody Allen,456,/players/a/allenco01.shtml,440.6666666666667,351,29,RHP,9.0,46,163,2.98,24,Indians,CLE,564,146
2013,23,0,Kyle Crockett,107,/players/c/crockky01.shtml,65.33333333333333,63,1,LHP,1.2,3,26,3.44,4,Indians,CLE,62,25
2013,25,12,Adam Plutko,19,/players/p/plutkad01.shtml,80.33333333333333,83,5,RHP,0.1,22,48,5.38,4,Indians,CLE,63,48
2016,23,19,Shane Bieber,20,/players/b/biebesh01.shtml,114.66666666666667,130,5,RHP,1.0,13,60,4.55,11,Indians,CLE,118,58
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,49,13,Andrew Miller,21,/players/m/millean01.shtml,74.33333333333333,81,6,LHP,-0.3,8,52,5.69,5,Tigers,DET,62,47
2006,19,3,Duane Below,41,/players/b/belowdu01.shtml,75.33333333333333,77,3,LHP,0.3,8,41,4.06,2,Tigers,DET,43,34
2006,6,0,Casey Fien,11,/players/f/fienca01.shtml,14.0,17,1,RHP,-0.4,4,14,8.36,0,Tigers,DET,9,13
2007,263,180,Rick Porcello,184,/players/p/porceri01.shtml,1073.3333333333333,1196,63,RHP,10.6,111,557,4.3,76,Tigers,DET,655,513
2007,19,0,Luke Putkonen,44,/players/p/putkolu01.shtml,48.333333333333336,55,5,RHP,0.4,6,26,4.66,1,Tigers,DET,39,25
2007,14,2,Charlie Furbush,17,/players/f/furbuch01.shtml,32.333333333333336,36,3,LHP,0.0,5,18,3.62,1,Tigers,DET,26,13
2007,11,3,Casey Crosby,3,/players/c/crosbca01.shtml,12.333333333333334,15,1,LHP,-0.4,2,13,9.49,1,Tigers,DET,9,13
2008,82,0,Ryan Perry,149,/players/p/perryry01.shtml,161.33333333333334,150,6,RHP,0.6,14,81,4.07,5,Tigers,DET,129,73
2008,8,0,Robbie Weinhardt,30,/players/w/weinhro01.shtml,31.0,44,2,RHP,-1.0,2,25,6.39,2,Tigers,DET,22,22
2008,2,0,Thad Weber,2,/players/w/weberth01.shtml,4.0,10,1,RHP,-0.2,0,4,9.0,0,Tigers,DET,1,4
2009,11,6,Jacob Turner,6,/players/t/turneja01.shtml,25.0,34,2,RHP,-1.1,7,24,8.28,1,Tigers,DET,15,23
2009,21,7,Andy Oliver,7,/players/o/olivean01.shtml,31.666666666666668,37,5,LHP,-0.8,6,29,7.11,0,Tigers,DET,23,25
2009,6,3,Adam Wilk,8,/players/w/wilkad01.shtml,24.333333333333332,35,3,LHP,-0.4,7,21,6.66,0,Tigers,DET,17,18
2010,0,0,Chance Ruffin,2,/players/r/ruffich01.shtml,3.6666666666666665,5,0,RHP,0.0,2,2,4.91,0,Tigers,DET,3,2
2010,81,36,Drew Smyly,107,/players/s/smylydr01.shtml,280.6666666666667,266,12,LHP,5.9,30,117,3.53,16,Tigers,DET,264,110
2010,44,7,Kyle Ryan,86,/players/r/ryanky01.shtml,128.0,127,6,LHP,1.4,11,58,3.87,8,Tigers,DET,70,55
2010,9,0,Jeff Ferrell,20,/players/f/ferreje01.shtml,20.666666666666668,29,0,RHP,-0.1,5,15,6.53,0,Tigers,DET,12,15
2011,3,0,Chad Smith,10,/players/s/smithch09.shtml,11.666666666666666,15,0,RHP,0.0,1,7,5.4,0,Tigers,DET,9,7
2011,3,0,Guido Knudson,4,/players/k/knudsgu01.shtml,5.0,13,0,RHP,-0.3,5,10,18.0,0,Tigers,DET,6,10
2012,52,4,Drew VerHagen,105,/players/v/verhadr01.shtml,141.0,139,7,RHP,1.0,20,75,4.79,6,Tigers,DET,105,75
2013,3,0,Corey Knebel,8,/players/k/knebeco01.shtml,8.666666666666666,11,0,RHP,-0.2,0,7,6.23,0,Tigers,DET,11,6
2013,103,20,Buck Farmer,109,/players/f/farmebu01.shtml,196.33333333333334,212,15,RHP,-1.1,31,134,5.87,8,Tigers,DET,168,128
2013,12,0,Zac Reininger,28,/players/r/reiniza01.shtml,31.0,44,0,RHP,-0.5,8,26,7.55,1,Tigers,DET,23,26
2013,2,0,Joe Mantiply,5,/players/m/mantijo01.shtml,2.6666666666666665,7,0,LHP,-0.2,1,5,16.88,0,Tigers,DET,2,5
2014,4,3,Spencer Turnbull,4,/players/t/turnbsp01.shtml,16.333333333333332,17,2,RHP,-0.1,1,11,6.06,0,Tigers,DET,15,11
2014,18,4,Artie Lewicki,17,/players/l/lewicar01.shtml,49.0,67,3,RHP,-0.1,5,32,5.14,0,Tigers,DET,36,28
2015,3,0,Matt Hall,5,/players/h/hallma02.shtml,8.0,19,0,LHP,-0.6,1,16,14.63,0,Tigers,DET,5,13
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,299,128,Luke Hochevar,279,/players/h/hochelu01.shtml,929.3333333333334,946,65,RHP,3.6,116,550,4.98,46,Royals,KCR,702,514
2006,54,0,Blake Wood,106,/players/w/woodbl01.shtml,119.33333333333333,120,6,RHP,0.9,11,59,4.3,6,Royals,KCR,93,57
2006,35,8,Everett Teaford,45,/players/t/teafoev01.shtml,106.0,105,5,LHP,0.9,19,51,4.25,3,Royals,KCR,63,50
2007,342,158,Danny Duffy,186,/players/d/duffyda01.shtml,924.3333333333334,881,55,LHP,14.1,107,424,3.92,53,Royals,KCR,811,403
2007,125,0,Greg Holland,309,/players/h/hollagr01.shtml,319.6666666666667,234,12,RHP,10.2,16,94,2.42,18,Royals,KCR,430,86
2009,99,0,Aaron Crow,254,/players/c/crowaa01.shtml,233.66666666666666,210,11,RHP,2.6,28,98,3.43,20,Royals,KCR,208,89
